Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
8672;2024-12-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;8672 -;2024-12-30;Vacances de Noël
0743;2024-12-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;Forte;1;0743 - Philippot vers ouest;2024-12-30;Vacances de Noël
0742;2024-12-30;6;18;7;8;7;4;9;27;70;47;23;18;32;32;35;31;36;81;56;35;22;18;13;11;646;;1;0742 - Philippot vers Est;2024-12-30;Vacances de Noël
0681;2024-12-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;1;0681 - Stalingrad vers est;2024-12-30;Vacances de Noël
0944;2024-12-30;0;0;0;0;0;0;0;8;17;11;1;3;1;6;5;10;12;13;15;7;2;2;3;1;117;;1;0944 - Magellan vers Est;2024-12-30;Vacances de Noël
0949;2024-12-30;1;0;0;1;2;1;2;7;2;0;5;5;7;2;6;5;11;12;13;15;2;4;1;1;105;;1;0949 - avenue de la Libération vers Sud;2024-12-30;Vacances de Noël
0788;2024-12-30;7;6;2;3;0;2;3;16;39;40;22;36;50;38;41;47;64;135;133;60;47;37;19;16;863;;1;0788 - 50 Otages Vers Nord;2024-12-30;Vacances de Noël
1042;2024-12-30;0;0;0;0;0;1;3;4;15;7;2;1;6;5;1;9;9;16;9;5;1;0;1;0;95;;1;1042 - Guy Mollet vers Sud;2024-12-30;Vacances de Noël
1056;2024-12-30;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;1;1056 -;2024-12-30;Vacances de Noël
9673;2024-12-30;2;1;0;0;2;0;7;29;36;20;10;13;19;17;21;12;36;53;52;37;13;4;7;6;397;;1;9673 -;2024-12-30;Vacances de Noël
0986;2024-12-30;0;0;0;0;0;0;2;2;11;10;4;0;4;3;5;5;5;7;5;4;3;3;0;2;75;;1;0986 - Tremie vers Ouest;2024-12-30;Vacances de Noël
0786;2024-12-30;10;7;2;2;4;4;6;30;93;75;32;44;97;76;63;72;118;194;178;91;51;37;18;14;1318;;1;0786 - 50 Otages Vers Nord;2024-12-30;Vacances de Noël
